resistencia,tiempo,VCH1,VCH2
1000,-0.00129,1.3,1.24
1000,-0.001289,1.3,1.24
1000,-0.0012879999999999999,1.3,1.24
1000,-0.001287,1.3,1.24
1000,-0.0012859999999999998,1.28,1.26
1000,-0.001285,1.32,1.24
1000,-0.001284,1.3,1.16
1000,-0.0012829999999999999,1.3,1.24
1000,-0.001282,1.3,1.24
1000,-0.001281,1.3,1.24
1000,-0.0012799999999999999,1.3,1.24
1000,-0.001279,1.32,1.24
1000,-0.0012779999999999998,1.3,1.24
1000,-0.001277,1.32,1.24
1000,-0.001276,1.3,1.26
1000,-0.0012749999999999999,1.3,1.26
1000,-0.001274,1.3,1.24
1000,-0.0012729999999999998,1.3,1.24
1000,-0.001272,1.3,1.26
1000,-0.001271,1.3,1.24
1000,-0.0012699999999999999,1.3,1.22
1000,-0.001269,1.3,1.24
1000,-0.0012679999999999998,1.3,1.26
1000,-0.001267,1.3,1.24
1000,-0.001266,1.3,1.26
1000,-0.0012649999999999998,1.3,1.24
1000,-0.001264,1.3,1.26
1000,-0.001263,1.32,1.28
1000,-0.0012619999999999999,1.3,1.24
1000,-0.001261,1.3,1.24
1000,-0.0012599999999999998,1.3,1.24
1000,-0.001259,1.3,1.26
1000,-0.001258,1.3,1.24
1000,-0.0012569999999999999,1.3,1.26
1000,-0.001256,1.3,1.24
1000,-0.0012549999999999998,1.3,1.26
1000,-0.001254,1.3,1.24
1000,-0.001253,1.28,1.26
1000,-0.0012519999999999999,1.3,1.24
1000,-0.001251,1.3,1.24
1000,-0.0012499999999999998,1.3,1.24
1000,-0.001249,1.28,1.26
1000,-0.001248,1.3,1.24
1000,-0.0012469999999999998,1.3,1.26
1000,-0.001246,1.32,1.24
1000,-0.001245,1.3,1.24
1000,-0.0012439999999999999,1.3,1.24
1000,-0.001243,1.3,1.24
1000,-0.0012419999999999998,1.3,1.26
1000,-0.001241,1.32,1.26
1000,-0.00124,1.3,1.2
1000,-0.0012389999999999999,1.3,1.26
1000,-0.001238,1.3,1.24
1000,-0.0012369999999999998,1.3,1.26
1000,-0.001236,1.3,1.26
1000,-0.001235,1.3,1.24
1000,-0.0012339999999999999,1.3,1.24
1000,-0.001233,1.3,1.26
1000,-0.001232,1.3,1.26
1000,-0.0012309999999999999,1.3,1.24
1000,-0.00123,1.3,1.24
1000,-0.0012289999999999998,1.3,1.26
1000,-0.001228,1.32,1.26
1000,-0.001227,1.3,1.26
1000,-0.0012259999999999999,1.3,1.26
1000,-0.001225,1.3,1.26
1000,-0.0012239999999999998,1.3,1.26
1000,-0.001223,1.32,1.26
1000,-0.001222,1.3,1.26
1000,-0.0012209999999999999,1.3,1.28
1000,-0.00122,1.3,1.26
1000,-0.001219,1.3,1.24
1000,-0.001218,1.3,1.24
1000,-0.001217,1.3,1.26
1000,-0.0012159999999999999,1.3,1.26
1000,-0.001215,1.3,1.24
1000,-0.001214,1.32,1.24
1000,-0.0012129999999999999,1.28,1.26
1000,-0.001212,1.3,1.26
1000,-0.0012109999999999998,1.3,1.24
1000,-0.00121,1.3,1.26
1000,-0.001209,1.3,1.26
1000,-0.0012079999999999999,1.3,1.24
1000,-0.001207,1.3,1.24
1000,-0.0012059999999999998,1.32,1.26
1000,-0.001205,1.3,1.26
1000,-0.001204,1.3,1.26
1000,-0.0012029999999999999,1.3,1.26
1000,-0.001202,1.32,1.24
1000,-0.0012009999999999998,1.3,1.26
1000,-0.0012,1.3,1.24
1000,-0.001199,1.3,1.26
1000,-0.0011979999999999998,1.32,1.26
1000,-0.001197,1.32,1.26
1000,-0.001196,1.3,1.26
1000,-0.0011949999999999999,1.3,1.2
1000,-0.001194,1.3,1.24
1000,-0.0011929999999999998,1.28,1.26
1000,-0.001192,1.32,1.26
1000,-0.001191,1.3,1.24
1000,-0.0011899999999999999,1.3,1.26
1000,-0.001189,1.3,1.26
1000,-0.0011879999999999998,1.3,1.26
1000,-0.001187,1.3,1.26
1000,-0.001186,1.3,1.24
1000,-0.0011849999999999999,1.3,1.24
1000,-0.001184,1.32,1.26
1000,-0.001183,1.3,1.26
1000,-0.0011819999999999999,1.3,1.26
1000,-0.001181,1.32,1.26
1000,-0.0011799999999999998,1.3,1.26
1000,-0.001179,1.3,1.26
1000,-0.001178,1.3,1.26
1000,-0.0011769999999999999,1.28,1.28
1000,-0.001176,1.3,1.24
